arxiv_id,reached_out_link,reached_out_success,reached_out_note,num_models,num_datasets,num_spaces,title,github,github_stars,conference_name,upvotes,num_comments,github_mention_hf,has_artifact,submitted_by,date
2305.03049,,0.0,,0.0,0.0,0.0,NeuralEditor: Editing Neural Radiance Fields via Manipulating Point Clouds,,,CVPR2023,3,1,0.0,False,akhaliq,2023-05-05
2305.02499,,0.0,,0.0,0.0,0.0,AutoML-GPT: Automatic Machine Learning with GPT,,,,3,5,0.0,False,akhaliq,2023-05-05
2305.02549,,0.0,,0.0,0.0,0.0,FormNetV2: Multimodal Graph Contrastive Learning for Form Document Information Extraction,,,ACL2023,6,2,0.0,False,akhaliq,2023-05-05
2305.02665,,0.0,,0.0,0.0,0.0,Learning Language-Specific Layers for Multilingual Machine Translation,,,ACL2023,3,0,0.0,False,akhaliq,2023-05-05
2305.02678,,0.0,,0.0,0.0,0.0,Real-Time Neural Appearance Models,,,,1,1,0.0,False,akhaliq,2023-05-05
2305.03509,,0.0,,0.0,0.0,0.0,Diffusion Explainer: Visual Explanation for Text-to-image Stable Diffusion,https://github.com/poloclub/diffusion-explainer,,,1,1,0.0,False,akhaliq,2023-05-08
2305.03514,,0.0,,0.0,0.0,0.0,Can Large Language Models Transform Computational Social Science?,https://github.com/salt-nlp/llms_for_css,,,1,0,1.0,False,akhaliq,2023-05-08
2305.03719,,0.0,,0.0,0.0,0.0,"Governance of the AI, by the AI, and for the AI",,,,0,0,0.0,False,akhaliq,2023-05-08
2305.03210,,0.0,,0.0,0.0,0.0,AttentionViz: A Global View of Transformer Attention,,,,1,1,0.0,False,akhaliq,2023-05-08
2305.03689,,0.0,,0.0,0.0,0.0,COLA: How to adapt vision-language models to Compose Objects Localized with Attributes?,,,,2,1,0.0,False,akhaliq,2023-05-08
2305.03668,,0.0,,0.0,1.0,0.0,A Suite of Generative Tasks for Multi-Level Multimodal Webpage Understanding,https://github.com/google-research-datasets/wit/blob/main/wikiweb2m.md,1001.0,EMNLP2023,1,4,0.0,True,akhaliq,2023-05-08
2305.03713,,0.0,,0.0,0.0,0.0,Avatar Fingerprinting for Authorized Use of Synthetic Talking-Head Videos,,,ECCV2024,1,0,0.0,False,akhaliq,2023-05-08
2305.03695,,0.0,,1.0,1.0,1.0,Vera: A General-Purpose Plausibility Estimation Model for Commonsense Statements,https://github.com/liujch1998/vera,13.0,EMNLP2023,3,0,1.0,True,akhaliq,2023-05-08
2305.03726,,0.0,,0.0,0.0,0.0,Otter: A Multi-Modal Model with In-Context Instruction Tuning,https://github.com/luodian/otter,,,6,3,1.0,False,akhaliq,2023-05-08
2305.03111,,0.0,,1.0,0.0,0.0,Can LLM Already Serve as A Database Interface? A BIg Bench for Large-Scale Database Grounded Text-to-SQLs,,,,8,0,0.0,True,akhaliq,2023-05-08
2305.03286,,0.0,,0.0,0.0,0.0,Composite Motion Learning with Task Control,https://github.com/xupei0610/compositemotion,,,1,0,0.0,False,akhaliq,2023-05-08
2305.04160,,0.0,,0.0,0.0,0.0,X-LLM: Bootstrapping Advanced Large Language Models by Treating Multi-Modalities as Foreign Languages,,,,2,7,0.0,False,akhaliq,2023-05-09
2305.04391,,0.0,,0.0,0.0,0.0,A Variational Perspective on Solving Inverse Problems with Diffusion Models,https://github.com/nvlabs/red-diff,,,1,0,0.0,False,akhaliq,2023-05-09
2305.04461,,0.0,,0.0,0.0,0.0,Locally Attentional SDF Diffusion for Controllable 3D Shape Generation,,,,1,0,0.0,False,akhaliq,2023-05-09
2305.04745,,0.0,,0.0,0.0,0.0,Controllable Light Diffusion for Portraits,,,CVPR2023,3,0,0.0,False,akhaliq,2023-05-09
2305.03937,,0.0,,0.0,0.0,0.0,Residual Prompt Tuning: Improving Prompt Tuning with Residual Reparameterization,https://github.com/arazd/residualprompts,51.0,ACL2023,1,0,0.0,False,akhaliq,2023-05-09
2305.04388,,0.0,,0.0,0.0,0.0,Language Models Don't Always Say What They Think: Unfaithful Explanations in Chain-of-Thought Prompting,https://github.com/milesaturpin/cot-unfaithfulness,30.0,NeurIPS2023,1,0,1.0,False,akhaliq,2023-05-09
2305.04790,,0.0,,0.0,0.0,0.0,MultiModal-GPT: A Vision and Language Model for Dialogue with Humans,https://github.com/open-mmlab/multimodal-gpt,1468.0,,1,4,1.0,False,akhaliq,2023-05-09
2305.04241,,0.0,,0.0,0.0,0.0,Vcc: Scaling Transformers to 128K Tokens or More by Prioritizing Important Tokens,,,NeurIPS2023,1,1,0.0,False,akhaliq,2023-05-09
2305.04268,,0.0,,0.0,0.0,0.0,Multi-Space Neural Radiance Fields,,,CVPR2023,1,0,0.0,False,akhaliq,2023-05-09
2305.04789,,0.0,,0.0,0.0,0.0,AvatarReX: Real-time Expressive Full-body Avatars,,,,1,0,0.0,False,akhaliq,2023-05-09
2305.04091,,0.0,,0.0,0.0,0.0,Plan-and-Solve Prompting: Improving Zero-Shot Chain-of-Thought Reasoning by Large Language Models,https://github.com/agi-edgerunners/plan-and-solve-prompting,586.0,ACL2023,2,1,0.0,False,akhaliq,2023-05-09
2305.03981,,0.0,,1.0,0.0,0.0,Pre-training Language Model as a Multi-perspective Course Learner,,,ACL2023,1,0,0.0,True,akhaliq,2023-05-09
2305.05658,,0.0,,0.0,0.0,0.0,TidyBot: Personalized Robot Assistance with Large Language Models,https://github.com/jimmyyhwu/tidybot,,,2,1,0.0,False,akhaliq,2023-05-10
2305.05189,,0.0,,0.0,0.0,0.0,SUR-adapter: Enhancing Text-to-Image Pre-trained Diffusion Models with Large Language Models,https://github.com/Qrange-group/SUR-adapter,,,2,2,1.0,False,akhaliq,2023-05-10
2305.05176,,0.0,,0.0,0.0,0.0,FrugalGPT: How to Use Large Language Models While Reducing Cost and Improving Performance,,,,5,4,0.0,False,akhaliq,2023-05-10
2305.05644,,0.0,,0.0,0.0,0.0,Towards Building the Federated GPT: Federated Instruction Tuning,https://github.com/jayzhang42/federatedgpt-shepherd,,,4,0,1.0,False,akhaliq,2023-05-10
2305.05364,,0.0,,0.0,0.0,0.0,Large Language Model Programs,,,,2,0,0.0,False,akhaliq,2023-05-10
2305.05383,,0.0,,0.0,1.0,0.0,Code Execution with Pre-trained Language Models,https://github.com/microsoft/CodeBERT,2207.0,ACL2023,2,1,1.0,True,akhaliq,2023-05-10
2305.04966,,0.0,,0.0,0.0,0.0,NerfAcc: Efficient Sampling Accelerates NeRFs,,,,2,0,0.0,False,akhaliq,2023-05-10
2305.05432,,0.0,,0.0,0.0,0.0,WikiWeb2M: A Page-Level Multimodal Wikipedia Dataset,https://github.com/google-research-datasets/wit/blob/main/wikiweb2m.md,,,1,0,0.0,False,akhaliq,2023-05-10
2304.09355,,0.0,,0.0,0.0,0.0,To Compress or Not to Compress- Self-Supervised Learning and Information Theory: A Review,,,,5,0,0.0,False,akhaliq,2023-05-10
2305.05591,,0.0,,0.0,0.0,0.0,AudioSlots: A slot-centric generative model for audio separation,,,,3,0,0.0,False,akhaliq,2023-05-10
2305.05662,,0.0,,0.0,0.0,3.0,InternChat: Solving Vision-Centric Tasks by Interacting with Chatbots Beyond Language,https://github.com/OpenGVLab/InternChat,3198.0,,4,0,0.0,True,akhaliq,2023-05-10
2305.05065,,0.0,,0.0,0.0,0.0,Recommender Systems with Generative Retrieval,,,NeurIPS2023,4,4,0.0,False,akhaliq,2023-05-10
2305.05862,,0.0,,0.0,1.0,0.0,Are ChatGPT and GPT-4 General-Purpose Solvers for Financial Text Analytics? An Examination on Several Typical Tasks,,,EMNLP2023,4,1,0.0,True,akhaliq,2023-05-11
2305.06218,,0.0,,0.0,0.0,0.0,Multi-Task End-to-End Training Improves Conversational Recommendation,,,,1,0,0.0,False,akhaliq,2023-05-11
2305.06077,,0.0,,0.0,0.0,0.0,Relightify: Relightable 3D Faces from a Single Image via Diffusion Models,,,,2,0,0.0,False,akhaliq,2023-05-11
2305.05845,,0.0,,0.0,0.0,0.0,Sketching the Future (STF): Applying Conditional Control Techniques to Text-to-Video Models,https://github.com/rohandkn/skribble2vid,,,2,2,0.0,False,akhaliq,2023-05-11
2305.06324,,0.0,,0.0,0.0,0.0,Alternating Gradient Descent and Mixture-of-Experts for Integrated Multimodal Perception,,,NeurIPS2023,1,0,0.0,False,akhaliq,2023-05-11
2305.05973,,0.0,,0.0,0.0,0.0,Privacy-Preserving Recommender Systems with Synthetic Query Generation using Differentially Private Large Language Models,,,NAACL2023,1,0,0.0,False,akhaliq,2023-05-11
2305.05706,,0.0,,0.0,0.0,0.0,DexArt: Benchmarking Generalizable Dexterous Manipulation with Articulated Objects,,,CVPR2023,1,0,0.0,False,akhaliq,2023-05-11
2305.06355,,0.0,,0.0,0.0,1.0,VideoChat: Chat-Centric Video Understanding,https://github.com/opengvlab/ask-anything,3023.0,,3,1,1.0,True,akhaliq,2023-05-11
2305.06356,,0.0,,0.0,0.0,0.0,HumanRF: High-Fidelity Neural Radiance Fields for Humans in Motion,https://github.com/synthesiaresearch/humanrf,,,1,1,0.0,False,akhaliq,2023-05-11
2305.06131,,0.0,,0.0,0.0,0.0,Generative AI meets 3D: A Survey on Text-to-3D in AIGC Era,,,,2,1,0.0,False,akhaliq,2023-05-11
2305.06161,,0.0,,81.0,4.0,100.0,StarCoder: may the source be with you!,,,,29,3,0.0,True,akhaliq,2023-05-11
2305.06351,,0.0,,0.0,0.0,0.0,Reconstructing Animatable Categories from Videos,https://github.com/lab4d-org/lab4d,261.0,CVPR2023,1,0,0.0,False,akhaliq,2023-05-11
2305.06594,,0.0,,0.0,0.0,0.0,V2Meow: Meowing to the Visual Beat via Music Generation,,,,1,0,0.0,False,akhaliq,2023-05-12
2305.06424,,0.0,,0.0,0.0,0.0,Bot or Human? Detecting ChatGPT Imposters with A Single Question,https://github.com/hongwang600/flair,56.0,COLM2024,1,0,0.0,False,akhaliq,2023-05-12
2305.06575,,0.0,,0.0,0.0,0.0,Chain-of-Dictionary Prompting Elicits Translation in Large Language Models,https://github.com/hongyuanluke/chain-of-dictionary,0.0,EMNLP2024,1,0,0.0,False,akhaliq,2023-05-12
2305.06404,,0.0,,0.0,0.0,0.0,LACoS-BLOOM: Low-rank Adaptation with Contrastive objective on 8 bits Siamese-BLOOM,,,,1,0,0.0,False,akhaliq,2023-05-12
2305.06474,,0.0,,0.0,0.0,0.0,Do LLMs Understand User Preferences? Evaluating LLMs On User Rating Prediction,,,,1,0,0.0,False,akhaliq,2023-05-12
2305.06555,,0.0,,0.0,0.0,0.0,Domain Incremental Lifelong Learning in an Open World,https://github.com/alibabaresearch/damo-convai,1201.0,ACL2023,1,2,0.0,False,akhaliq,2023-05-12
2305.06500,,0.0,,9.0,0.0,19.0,InstructBLIP: Towards General-purpose Vision-Language Models with Instruction Tuning,https://github.com/salesforce/lavis,9780.0,NeurIPS2023,4,0,0.0,True,akhaliq,2023-05-12
2305.07021,,0.0,,0.0,0.0,0.0,Simple Token-Level Confidence Improves Caption Correctness,,,,1,0,0.0,False,akhaliq,2023-05-12
2305.07027,,0.0,,6.0,0.0,0.0,EfficientViT: Memory Efficient Vision Transformer with Cascaded Group Attention,https://github.com/microsoft/cream,1664.0,CVPR2023,3,1,0.0,True,akhaliq,2023-05-12
2305.06456,,0.0,,0.0,0.0,0.0,Perpetual Humanoid Control for Real-time Simulated Avatars,,,,1,1,0.0,False,akhaliq,2023-05-12
2305.07015,,0.0,,2.0,1.0,1.0,Exploiting Diffusion Prior for Real-World Image Super-Resolution,https://github.com/pkuliyi2015/sd-webui-stablesr,,,4,0,1.0,True,akhaliq,2023-05-12
2305.07011,,0.0,,0.0,0.0,0.0,Region-Aware Pretraining for Open-Vocabulary Object Detection with Vision Transformers,https://github.com/google-research/google-research/tree/master/fvlm/rovit,34070.0,CVPR2023,5,1,0.0,False,akhaliq,2023-05-12
2305.07017,,0.0,,7.0,0.0,0.0,An Inverse Scaling Law for CLIP Training,https://github.com/ucsc-vlaa/clipa,293.0,NeurIPS2023,3,2,0.0,True,akhaliq,2023-05-12
2305.06908,,0.0,,0.0,0.0,0.0,CoMoSpeech: One-Step Speech and Singing Voice Synthesis via Consistency Model,https://github.com/zhenye234/CoMoSpeech,,,5,0,0.0,False,akhaliq,2023-05-12
2305.07004,,0.0,,0.0,0.0,0.0,Not All Languages Are Created Equal in LLMs: Improving Multilingual Capability by Cross-Lingual-Thought Prompting,,,EMNLP2023,1,0,0.0,False,akhaliq,2023-05-12
2305.07243,,0.0,,1.0,0.0,1.0,Better speech synthesis through scaling,https://github.com/neonbjb/tortoise-tts,13075.0,,5,0,1.0,True,akhaliq,2023-05-15
2305.07490,,0.0,,0.0,0.0,0.0,ArtGPT-4: Artistic Vision-Language Understanding with Adapter-enhanced MiniGPT-4,,,,1,0,0.0,False,akhaliq,2023-05-15
2305.07378,,0.0,,0.0,0.0,0.0,Surfacing Biases in Large Language Models using Contrastive Input Decoding,,,,1,0,0.0,False,akhaliq,2023-05-15
2305.07214,,0.0,,0.0,0.0,0.0,MMG-Ego4D: Multi-Modal Generalization in Egocentric Action Recognition,https://github.com/facebookresearch/MMG_Ego4D,0.0,,1,0,0.0,False,akhaliq,2023-05-15
2305.07447,,0.0,,0.0,0.0,0.0,Universal Source Separation with Weakly Labelled Data,https://github.com/bytedance/uss,326.0,,2,0,1.0,False,akhaliq,2023-05-15
2305.07615,,0.0,,0.0,1.0,0.0,What are the Desired Characteristics of Calibration Sets? Identifying Correlates on Long Form Scientific Summarization,https://github.com/griff4692/calibrating-summaries,9.0,ACL2023,1,1,1.0,True,akhaliq,2023-05-15
2305.07558,,0.0,,0.0,0.0,0.0,Measuring Progress in Fine-grained Vision-and-Language Understanding,https://github.com/e-bug/fine-grained-evals,13.0,ACL2023,1,0,1.0,False,akhaliq,2023-05-15
2305.07153,,0.0,,0.0,0.0,0.0,Towards best practices in AGI safety and governance: A survey of expert opinion,,,,0,0,0.0,False,akhaliq,2023-05-15
2305.07440,,0.0,,0.0,0.0,0.0,Optimizing Memory Mapping Using Deep Reinforcement Learning,,,,1,0,0.0,False,akhaliq,2023-05-15
2305.07185,,0.0,,0.0,0.0,0.0,MEGABYTE: Predicting Million-byte Sequences with Multiscale Transformers,,,NeurIPS2023,9,8,0.0,False,akhaliq,2023-05-15
2305.07514,,0.0,,0.0,0.0,0.0,BlendFields: Few-Shot Example-Driven Facial Modeling,,,CVPR2023,1,0,0.0,False,akhaliq,2023-05-15
2305.08379,,0.0,,0.0,0.0,0.0,TESS: Text-to-Text Self-Conditioned Simplex Diffusion,https://github.com/allenai/tess-diffusion,,,1,0,0.0,False,akhaliq,2023-05-16
2305.08850,,0.0,,0.0,0.0,0.0,Make-A-Protagonist: Generic Video Editing with An Ensemble of Experts,,,,1,0,0.0,False,akhaliq,2023-05-16
2305.08848,,0.0,,0.0,0.0,0.0,Small Models are Valuable Plug-ins for Large Language Models,https://github.com/JetRunner/SuperICL,120.0,ACL2024,3,0,0.0,False,akhaliq,2023-05-16
2305.07969,,0.0,,0.0,0.0,1.0,GPT-Sentinel: Distinguishing Human and ChatGPT Generated Content,https://github.com/MarkChenYutian/GPT-Sentinel-public,,,1,0,0.0,True,akhaliq,2023-05-16
2305.08844,,0.0,,0.0,0.0,0.0,RL4F: Generating Natural Language Feedback with Reinforcement Learning for Repairing Model Outputs,https://github.com/feyzaakyurek/rl4f,60.0,ACL2023,1,0,0.0,False,akhaliq,2023-05-16
2305.07677,,0.0,,0.0,0.0,0.0,Masked Audio Text Encoders are Effective Multi-Modal Rescorers,,,ACL2023,2,0,0.0,False,akhaliq,2023-05-16
2305.07804,,0.0,,0.0,0.0,0.0,Dr. LLaMA: Improving Small Language Models in Domain-Specific QA via Generative Data Augmentation,,,,2,1,0.0,False,akhaliq,2023-05-16
2305.08275,,0.0,,0.0,0.0,0.0,ULIP-2: Towards Scalable Multimodal Pre-training For 3D Understanding,https://github.com/salesforce/ulip,424.0,CVPR2024,2,0,0.0,False,akhaliq,2023-05-16
2305.08298,,0.0,,0.0,2.0,0.0,Symbol tuning improves in-context learning in language models,,,EMNLP2023,3,0,0.0,True,akhaliq,2023-05-16
2305.08809,,0.0,,0.0,0.0,0.0,Interpretability at Scale: Identifying Causal Mechanisms in Alpaca,https://github.com/stanfordnlp/pyvene,619.0,NeurIPS2023,2,0,1.0,False,akhaliq,2023-05-16
2305.08675,,0.0,,0.0,0.0,0.0,Improved baselines for vision-language pre-training,https://github.com/facebookresearch/clip-rocket,,,2,0,0.0,False,akhaliq,2023-05-16
2305.07922,,0.0,,19.0,0.0,18.0,CodeT5+: Open Code Large Language Models for Code Understanding and Generation,https://github.com/salesforce/codet5,2763.0,EMNLP2023,4,2,1.0,True,akhaliq,2023-05-16
2305.07961,,0.0,,0.0,0.0,0.0,Leveraging Large Language Models in Conversational Recommender Systems,,,,2,0,0.0,False,akhaliq,2023-05-16
2305.08810,,0.0,,0.0,0.0,0.0,AutoRecon: Automated 3D Object Discovery and Reconstruction,,,CVPR2023,2,2,0.0,False,akhaliq,2023-05-16
2305.08596,,0.0,,0.0,0.0,0.0,DarkBERT: A Language Model for the Dark Side of the Internet,,,ACL2023,8,11,0.0,False,akhaliq,2023-05-16
2305.07759,,0.0,,22.0,18.0,45.0,TinyStories: How Small Can Language Models Be and Still Speak Coherent English?,,,,31,7,0.0,True,akhaliq,2023-05-16
2305.08677,,0.0,,0.0,0.0,0.0,Natural Language Decomposition and Interpretation of Complex Utterances,,,,2,0,0.0,False,akhaliq,2023-05-16
2305.09148,,0.0,,0.0,0.0,0.0,Dual-Alignment Pre-training for Cross-lingual Sentence Embedding,https://github.com/chillingdream/dap,19.0,ACL2023,1,0,0.0,False,akhaliq,2023-05-17
2305.09662,,0.0,,0.0,0.0,0.0,Make-An-Animation: Large-Scale Text-conditional 3D Human Motion Generation,,,,3,0,0.0,False,akhaliq,2023-05-17
2305.09515,,0.0,,0.0,0.0,0.0,AR-Diffusion: Auto-Regressive Diffusion Model for Text Generation,https://github.com/microsoft/ProphetNet,688.0,NeurIPS2023,2,3,0.0,False,akhaliq,2023-05-17
2305.09664,,0.0,,0.0,0.0,1.0,Understanding 3D Object Interaction from a Single Image,https://github.com/JasonQSY/3DOI,,,1,0,1.0,True,akhaliq,2023-05-17
2305.09253,,0.0,,0.0,0.0,0.0,Online Continual Learning Without the Storage Constraint,https://github.com/drimpossible/acm,12.0,,2,0,0.0,False,akhaliq,2023-05-17
2305.08891,,0.0,,8.0,0.0,19.0,Common Diffusion Noise Schedules and Sample Steps are Flawed,,,,7,4,0.0,True,akhaliq,2023-05-17
2305.09636,,0.0,,0.0,0.0,0.0,SoundStorm: Efficient Parallel Audio Generation,,,,3,6,0.0,False,akhaliq,2023-05-17
2305.09137,,0.0,,0.0,0.0,0.0,Pre-Training to Learn in Context,https://github.com/thu-coai/picl,106.0,ACL2023,2,0,1.0,False,akhaliq,2023-05-17
2305.09617,,0.0,,30.0,0.0,10.0,Towards Expert-Level Medical Question Answering with Large Language Models,,,,5,2,0.0,True,akhaliq,2023-05-17
2305.09641,,0.0,,0.0,0.0,0.0,FitMe: Deep Photorealistic 3D Morphable Model Avatars,,,CVPR2023,3,2,0.0,False,akhaliq,2023-05-17
2305.10431,,0.0,,0.0,0.0,0.0,FastComposer: Tuning-Free Multi-Subject Image Generation with Localized Attention,https://github.com/mit-han-lab/fastcomposer,653.0,,2,0,1.0,False,akhaliq,2023-05-18
2305.10400,,0.0,,0.0,1.0,0.0,What You See is What You Read? Improving Text-Image Alignment Evaluation,https://github.com/yonatanbitton/wysiwyr,31.0,NeurIPS2023,2,0,1.0,True,akhaliq,2023-05-18
2305.09758,,0.0,,0.0,0.0,0.0,A Video Is Worth 4096 Tokens: Verbalize Story Videos To Understand Them In Zero Shot,https://github.com/midas-research/video-persuasion,5.0,EMNLP2023,1,1,0.0,False,akhaliq,2023-05-18
2305.09764,,0.0,,0.0,0.0,0.0,Application-Agnostic Language Modeling for On-Device ASR,,,ACL2023,2,0,0.0,False,akhaliq,2023-05-18
2305.10005,,0.0,,0.0,0.0,0.0,DinoSR: Self-Distillation and Online Clustering for Self-supervised Speech Representation Learning,https://github.com/alexander-h-liu/dinosr,46.0,NeurIPS2023,2,0,0.0,False,akhaliq,2023-05-18
2305.10266,,0.0,,0.0,0.0,0.0,Searching for Needles in a Haystack: On the Role of Incidental Bilingualism in PaLM's Translation Capability,,,ACL2023,1,0,0.0,False,akhaliq,2023-05-18
2305.10429,,0.0,,0.0,0.0,0.0,DoReMi: Optimizing Data Mixtures Speeds Up Language Model Pretraining,https://github.com/sangmichaelxie/doremi,298.0,NeurIPS2023,3,2,1.0,False,akhaliq,2023-05-18
2305.10142,,0.0,,0.0,0.0,0.0,Improving Language Model Negotiation with Self-Play and In-Context Learning from AI Feedback,https://github.com/franxyao/gpt-bargaining,,,1,0,0.0,False,akhaliq,2023-05-18
2305.10320,,0.0,,0.0,0.0,0.0,CostFormer:Cost Transformer for Cost Aggregation in Multi-view Stereo,,,,1,0,0.0,False,akhaliq,2023-05-18
2305.09761,,0.0,,0.0,0.0,0.0,"NerfBridge: Bringing Real-time, Online Neural Radiance Field Training to Robotics",https://github.com/javieryu/nerf_bridge,194.0,,1,0,0.0,False,akhaliq,2023-05-18
2305.09975,,0.0,,0.0,0.0,0.0,Smart Word Suggestions for Writing Assistance,https://github.com/microsoft/SmartWordSuggestions,19.0,ACL2023,2,0,0.0,False,akhaliq,2023-05-18
2305.10403,,0.0,,0.0,1.0,1.0,PaLM 2 Technical Report,,,,6,4,0.0,True,akhaliq,2023-05-18
2305.09863,,0.0,,0.0,0.0,0.0,Explaining black box text modules in natural language with language models,https://github.com/microsoft/automated-explanations,37.0,NeurIPS2023,3,0,0.0,False,akhaliq,2023-05-18
2305.09863,,0.0,,0.0,0.0,0.0,Explaining black box text modules in natural language with language models,https://github.com/microsoft/automated-explanations,37.0,NeurIPS2024,3,0,0.0,False,akhaliq,2023-05-18
2305.10425,,0.0,,3.0,0.0,0.0,SLiC-HF: Sequence Likelihood Calibration with Human Feedback,,,,5,0,0.0,True,akhaliq,2023-05-18
2305.09857,,0.0,,5.0,4.0,14.0,CoEdIT: Text Editing by Task-Specific Instruction Tuning,https://github.com/vipulraheja/coedit,106.0,EMNLP2023,7,3,1.0,True,akhaliq,2023-05-18
2305.10018,,0.0,,0.0,0.0,0.0,Transfer Learning for Fine-grained Classification Using Semi-supervised Learning and Visual Transformers,,,,1,0,0.0,False,akhaliq,2023-05-18
2305.10688,,0.0,,0.0,0.0,0.0,MolXPT: Wrapping Molecules with Text for Generative Pre-training,,,ACL2023,1,0,0.0,False,akhaliq,2023-05-19
2305.11147,,0.0,,1.0,0.0,1.0,UniControl: A Unified Diffusion Model for Controllable Visual Generation In the Wild,https://github.com/salesforce/unicontrol,611.0,NeurIPS2023,3,1,1.0,True,akhaliq,2023-05-19
2305.10874,,0.0,,0.0,0.0,0.0,VideoFactory: Swap Attention in Spatiotemporal Diffusions for Text-to-Video Generation,,,,1,0,0.0,False,akhaliq,2023-05-19
2305.10474,,0.0,,0.0,0.0,0.0,Preserve Your Own Correlation: A Noise Prior for Video Diffusion Models,,,,1,0,0.0,False,akhaliq,2023-05-19
2305.10841,,0.0,,0.0,0.0,0.0,GETMusic: Generating Any Music Tracks with a Unified Representation and Diffusion Framework,https://github.com/microsoft/muzic,,,2,1,0.0,False,akhaliq,2023-05-19
2305.10722,,0.0,,0.0,0.0,0.0,Discriminative Diffusion Models as Few-shot Vision and Language Learners,https://github.com/eric-ai-lab/dsd,,,3,0,1.0,False,akhaliq,2023-05-19
2305.11175,,0.0,,0.0,0.0,0.0,VisionLLM: Large Language Model is also an Open-Ended Decoder for Vision-Centric Tasks,https://github.com/opengvlab/interngpt,3198.0,NeurIPS2023,3,5,1.0,False,akhaliq,2023-05-19
2305.10853,,0.0,,3.0,0.0,16.0,LDM3D: Latent Diffusion Model for 3D,,,,10,2,0.0,True,akhaliq,2023-05-19
2305.10912,,0.0,,0.0,0.0,0.0,A Generalist Dynamics Model for Control,,,,1,0,0.0,False,akhaliq,2023-05-19
2305.10434,,0.0,,0.0,0.0,0.0,Learning the Visualness of Text Using Large Vision-Language Models,,,EMNLP2023,2,0,0.0,False,akhaliq,2023-05-19
2305.11000,,0.0,,3.0,0.0,0.0,SpeechGPT: Empowering Large Language Models with Intrinsic Cross-Modal Conversational Abilities,https://github.com/0nutation/speechgpt,1252.0,EMNLP2023,4,2,0.0,True,akhaliq,2023-05-19
2305.11129,,0.0,,3.0,0.0,0.0,mLongT5: A Multilingual and Efficient Text-To-Text Transformer for Longer Sequences,https://github.com/google-research/longt5,178.0,EMNLP2023,2,1,0.0,True,akhaliq,2023-05-19
2305.10764,,0.0,,0.0,0.0,1.0,OpenShape: Scaling Up 3D Shape Representation Towards Open-World Understanding,,,NeurIPS2023,6,4,0.0,True,akhaliq,2023-05-19
2305.10763,,0.0,,0.0,0.0,0.0,CLAPSpeech: Learning Prosody from Text Context with Contrastive Language-Audio Pre-training,,,ACL2023,3,4,0.0,False,akhaliq,2023-05-19
2305.11171,,0.0,,1.0,1.0,2.0,TrueTeacher: Learning Factual Consistency Evaluation with Large Language Models,https://github.com/google-research/google-research/tree/master/true_teacher,34070.0,EMNLP2023,2,0,0.0,True,akhaliq,2023-05-19
